Number of Neurons,Dropout Rate,Number of Layers,Epochs,Test Loss,MAE,MSE
50,0.2,1,20,0.007233666256070137,0.06651677191257477,0.007233666256070137
50,0.2,1,30,0.007076422683894634,0.06604078412055969,0.007076422683894634
50,0.2,2,20,0.007397541776299477,0.06718332320451736,0.007397541776299477
50,0.2,2,30,0.007195936981588602,0.06647355854511261,0.007195936981588602
50,0.3,1,20,0.007421830669045448,0.06734061241149902,0.007421830669045448
50,0.3,1,30,0.007188743446022272,0.06638025492429733,0.007188743446022272
50,0.3,2,20,0.007546143140643835,0.0676594153046608,0.007546143140643835
50,0.3,2,30,0.007177088875323534,0.0664728656411171,0.007177088875323534
100,0.2,1,20,0.007072565145790577,0.06612368673086166,0.007072565145790577
100,0.2,1,30,0.007042722310870886,0.06605346500873566,0.007042722310870886
100,0.2,2,20,0.0071379453875124454,0.06630877405405045,0.0071379453875124454
100,0.2,2,30,0.0072487429715693,0.06693510711193085,0.0072487429715693
100,0.3,1,20,0.007226412650197744,0.06684195250272751,0.007226412650197744
100,0.3,1,30,0.007077784743160009,0.06619621813297272,0.007077784743160009
100,0.3,2,20,0.007161248009651899,0.0664524957537651,0.007161248009651899
100,0.3,2,30,0.007215642370283604,0.06664703041315079,0.007215642370283604
