Activation Function,Number of Neurons,Dropout Rate,Number of Layers,Optimizer,Learning Rate,Epochs,Test Loss,MAE,MSE
tanh,50,0.2,1,adam,0.001,20,0.007537205703556538,0.06784089654684067,0.007537205703556538
tanh,50,0.2,1,adam,0.001,30,0.007105365861207247,0.06626030057668686,0.007105365861207247
tanh,50,0.2,1,adam,0.01,20,0.007192227058112621,0.06686677783727646,0.007192227058112621
tanh,50,0.2,1,adam,0.01,30,0.007172862533479929,0.06651464104652405,0.007172862533479929
tanh,50,0.2,1,rmsprop,0.001,20,0.007537940051406622,0.06811831891536713,0.007537940051406622
tanh,50,0.2,1,rmsprop,0.001,30,0.00718519976362586,0.0666872039437294,0.00718519976362586
tanh,50,0.2,1,rmsprop,0.01,20,0.007039359770715237,0.06597088277339935,0.007039359770715237
tanh,50,0.2,1,rmsprop,0.01,30,0.0070390221662819386,0.06599170714616776,0.0070390221662819386
tanh,50,0.2,2,adam,0.001,20,0.0074835107661783695,0.06798579543828964,0.0074835107661783695
tanh,50,0.2,2,adam,0.001,30,0.00719335675239563,0.0664328932762146,0.00719335675239563
tanh,50,0.2,2,adam,0.01,20,0.007087343838065863,0.066258005797863,0.007087343838065863
tanh,50,0.2,2,adam,0.01,30,0.007142170798033476,0.06671939790248871,0.007142170798033476
tanh,50,0.2,2,rmsprop,0.001,20,0.009813843294978142,0.07674713432788849,0.009813843294978142
tanh,50,0.2,2,rmsprop,0.001,30,0.009107393212616444,0.07388957589864731,0.009107393212616444
tanh,50,0.2,2,rmsprop,0.01,20,0.007127004209905863,0.06634184718132019,0.007127004209905863
tanh,50,0.2,2,rmsprop,0.01,30,0.007087185978889465,0.06653773784637451,0.007087185978889465
tanh,50,0.3,1,adam,0.001,20,0.007620860822498798,0.06811342388391495,0.007620860822498798
tanh,50,0.3,1,adam,0.001,30,0.007224435918033123,0.06662855297327042,0.007224435918033123
tanh,50,0.3,1,adam,0.01,20,0.007079883012920618,0.06624967604875565,0.007079883012920618
tanh,50,0.3,1,adam,0.01,30,0.0072464593686163425,0.06694900989532471,0.0072464593686163425
tanh,50,0.3,1,rmsprop,0.001,20,0.00748533196747303,0.06770479679107666,0.00748533196747303
tanh,50,0.3,1,rmsprop,0.001,30,0.0077016898430883884,0.06838247179985046,0.0077016898430883884
tanh,50,0.3,1,rmsprop,0.01,20,0.007460403256118298,0.06803004443645477,0.007460403256118298
tanh,50,0.3,1,rmsprop,0.01,30,0.00707310251891613,0.06607518345117569,0.00707310251891613
tanh,50,0.3,2,adam,0.001,20,0.00756053626537323,0.06785023212432861,0.00756053626537323
tanh,50,0.3,2,adam,0.001,30,0.007832109928131104,0.0698762834072113,0.007832109928131104
tanh,50,0.3,2,adam,0.01,20,0.007340495008975267,0.06737910211086273,0.007340495008975267
tanh,50,0.3,2,adam,0.01,30,0.00720406835898757,0.0667487159371376,0.00720406835898757
tanh,50,0.3,2,rmsprop,0.001,20,0.008720056153833866,0.07217128574848175,0.008720056153833866
tanh,50,0.3,2,rmsprop,0.001,30,0.007643728516995907,0.06805010139942169,0.007643728516995907
tanh,50,0.3,2,rmsprop,0.01,20,0.007622795179486275,0.06894097477197647,0.007622795179486275
tanh,50,0.3,2,rmsprop,0.01,30,0.007052362430840731,0.06602434068918228,0.007052362430840731
tanh,100,0.2,1,adam,0.001,20,0.007340504787862301,0.06751205027103424,0.007340504787862301
tanh,100,0.2,1,adam,0.001,30,0.007065903395414352,0.06623008847236633,0.007065903395414352
tanh,100,0.2,1,adam,0.01,20,0.007212969474494457,0.06679657846689224,0.007212969474494457
tanh,100,0.2,1,adam,0.01,30,0.007026289589703083,0.06598858535289764,0.007026289589703083
tanh,100,0.2,1,rmsprop,0.001,20,0.007375742308795452,0.06742212176322937,0.007375742308795452
tanh,100,0.2,1,rmsprop,0.001,30,0.007281363941729069,0.06723856180906296,0.007281363941729069
tanh,100,0.2,1,rmsprop,0.01,20,0.007136656902730465,0.06638326495885849,0.007136656902730465
tanh,100,0.2,1,rmsprop,0.01,30,0.007578650955110788,0.06883769482374191,0.007578650955110788
tanh,100,0.2,2,adam,0.001,20,0.0071797757409513,0.06657016277313232,0.0071797757409513
tanh,100,0.2,2,adam,0.001,30,0.00713625643402338,0.06633622944355011,0.00713625643402338
tanh,100,0.2,2,adam,0.01,20,0.007184729445725679,0.06669317185878754,0.007184729445725679
tanh,100,0.2,2,adam,0.01,30,0.007134911138564348,0.06639020144939423,0.007134911138564348
tanh,100,0.2,2,rmsprop,0.001,20,0.007944948971271515,0.06956904381513596,0.007944948971271515
tanh,100,0.2,2,rmsprop,0.001,30,0.007329520769417286,0.06730734556913376,0.007329520769417286
tanh,100,0.2,2,rmsprop,0.01,20,0.007018777076154947,0.06599225848913193,0.007018777076154947
tanh,100,0.2,2,rmsprop,0.01,30,0.007467339280992746,0.06780853867530823,0.007467339280992746
tanh,100,0.3,1,adam,0.001,20,0.0071451724506914616,0.06637687236070633,0.0071451724506914616
tanh,100,0.3,1,adam,0.001,30,0.007149201817810535,0.0664011687040329,0.007149201817810535
tanh,100,0.3,1,adam,0.01,20,0.007335594855248928,0.06691501289606094,0.007335594855248928
tanh,100,0.3,1,adam,0.01,30,0.007132319267839193,0.06633421778678894,0.007132319267839193
tanh,100,0.3,1,rmsprop,0.001,20,0.00921008363366127,0.075948067009449,0.00921008363366127
tanh,100,0.3,1,rmsprop,0.001,30,0.007115082815289497,0.066421277821064,0.007115082815289497
tanh,100,0.3,1,rmsprop,0.01,20,0.007459897547960281,0.06790260225534439,0.007459897547960281
tanh,100,0.3,1,rmsprop,0.01,30,0.0070506734773516655,0.0660773515701294,0.0070506734773516655
tanh,100,0.3,2,adam,0.001,20,0.007239569444209337,0.06666997820138931,0.007239569444209337
tanh,100,0.3,2,adam,0.001,30,0.0072406562976539135,0.06667406857013702,0.0072406562976539135
tanh,100,0.3,2,adam,0.01,20,0.007303430698812008,0.06717216223478317,0.007303430698812008
tanh,100,0.3,2,adam,0.01,30,0.007158712018281221,0.06666421890258789,0.007158712018281221
tanh,100,0.3,2,rmsprop,0.001,20,0.009317493997514248,0.07479862868785858,0.009317493997514248
tanh,100,0.3,2,rmsprop,0.001,30,0.007742174901068211,0.06867913156747818,0.007742174901068211
tanh,100,0.3,2,rmsprop,0.01,20,0.007318027317523956,0.06719500571489334,0.007318027317523956
tanh,100,0.3,2,rmsprop,0.01,30,0.007602676283568144,0.06829633563756943,0.007602676283568144
relu,50,0.2,1,adam,0.001,20,0.007412680424749851,0.06679847836494446,0.007412680424749851
relu,50,0.2,1,adam,0.001,30,0.007288659922778606,0.06646504253149033,0.007288659922778606
relu,50,0.2,1,adam,0.01,20,0.007675932254642248,0.06854908913373947,0.007675932254642248
relu,50,0.2,1,adam,0.01,30,0.007342484779655933,0.06703372299671173,0.007342484779655933
relu,50,0.2,1,rmsprop,0.001,20,0.007941254414618015,0.06913525611162186,0.007941254414618015
relu,50,0.2,1,rmsprop,0.001,30,0.00874035432934761,0.07247944176197052,0.00874035432934761
relu,50,0.2,1,rmsprop,0.01,20,0.010873616673052311,0.08381626009941101,0.010873616673052311
relu,50,0.2,1,rmsprop,0.01,30,0.007207915186882019,0.06651535630226135,0.007207915186882019
relu,50,0.2,2,adam,0.001,20,0.008796271868050098,0.07284688204526901,0.008796271868050098
relu,50,0.2,2,adam,0.001,30,0.007635151501744986,0.06767554581165314,0.007635151501744986
relu,50,0.2,2,adam,0.01,20,0.009509685449302197,0.07523035258054733,0.009509685449302197
relu,50,0.2,2,adam,0.01,30,0.007780952379107475,0.06902044266462326,0.007780952379107475
relu,50,0.2,2,rmsprop,0.001,20,0.009982543997466564,0.07694554328918457,0.009982543997466564
relu,50,0.2,2,rmsprop,0.001,30,0.009426387026906013,0.07503589242696762,0.009426387026906013
relu,50,0.2,2,rmsprop,0.01,20,0.007911480031907558,0.0701349675655365,0.007911480031907558
relu,50,0.2,2,rmsprop,0.01,30,0.007965230382978916,0.06925353407859802,0.007965230382978916
relu,50,0.3,1,adam,0.001,20,0.008747716434299946,0.07273974269628525,0.008747716434299946
relu,50,0.3,1,adam,0.001,30,0.007457861676812172,0.06717081367969513,0.007457861676812172
relu,50,0.3,1,adam,0.01,20,0.007592073641717434,0.06799963116645813,0.007592073641717434
relu,50,0.3,1,adam,0.01,30,0.0077119795605540276,0.06845463812351227,0.0077119795605540276
relu,50,0.3,1,rmsprop,0.001,20,0.008897507563233376,0.07326223701238632,0.008897507563233376
relu,50,0.3,1,rmsprop,0.001,30,0.008479856885969639,0.07178428769111633,0.008479856885969639
relu,50,0.3,1,rmsprop,0.01,20,0.007270826958119869,0.0667833760380745,0.007270826958119869
relu,50,0.3,1,rmsprop,0.01,30,0.007411312777549028,0.06768907606601715,0.007411312777549028
relu,50,0.3,2,adam,0.001,20,0.008825775235891342,0.07242128252983093,0.008825775235891342
relu,50,0.3,2,adam,0.001,30,0.007776717655360699,0.0683775246143341,0.007776717655360699
relu,50,0.3,2,adam,0.01,20,0.010054701939225197,0.07785547524690628,0.010054701939225197
relu,50,0.3,2,adam,0.01,30,0.007570198737084866,0.06808441877365112,0.007570198737084866
relu,50,0.3,2,rmsprop,0.001,20,0.009581431746482849,0.07581225782632828,0.009581431746482849
relu,50,0.3,2,rmsprop,0.001,30,0.009360170923173428,0.07479817420244217,0.009360170923173428
relu,50,0.3,2,rmsprop,0.01,20,0.00812959298491478,0.0700390487909317,0.00812959298491478
relu,50,0.3,2,rmsprop,0.01,30,0.008511321619153023,0.07169847935438156,0.008511321619153023
relu,100,0.2,1,adam,0.001,20,0.007118420675396919,0.06592623889446259,0.007118420675396919
relu,100,0.2,1,adam,0.001,30,0.007235107943415642,0.06650124490261078,0.007235107943415642
relu,100,0.2,1,adam,0.01,20,0.007499263621866703,0.0677710697054863,0.007499263621866703
relu,100,0.2,1,adam,0.01,30,0.007576391100883484,0.0678706169128418,0.007576391100883484
relu,100,0.2,1,rmsprop,0.001,20,0.007961890660226345,0.06935275346040726,0.007961890660226345
relu,100,0.2,1,rmsprop,0.001,30,0.007451213430613279,0.06707769632339478,0.007451213430613279
relu,100,0.2,1,rmsprop,0.01,20,0.007643555290997028,0.0688791424036026,0.007643555290997028
relu,100,0.2,1,rmsprop,0.01,30,0.007045559585094452,0.06571467965841293,0.007045559585094452
relu,100,0.2,2,adam,0.001,20,0.008012347854673862,0.06936810165643692,0.008012347854673862
relu,100,0.2,2,adam,0.001,30,0.0072214617393910885,0.06625065952539444,0.0072214617393910885
relu,100,0.2,2,adam,0.01,20,0.007696644403040409,0.06866849958896637,0.007696644403040409
relu,100,0.2,2,adam,0.01,30,0.010329284705221653,0.07805097103118896,0.010329284705221653
relu,100,0.2,2,rmsprop,0.001,20,0.009830115363001823,0.07662228494882584,0.009830115363001823
relu,100,0.2,2,rmsprop,0.001,30,0.008457737974822521,0.07118049263954163,0.008457737974822521
relu,100,0.2,2,rmsprop,0.01,20,0.008124912157654762,0.07036370038986206,0.008124912157654762
relu,100,0.2,2,rmsprop,0.01,30,0.007967308163642883,0.07006170600652695,0.007967308163642883
relu,100,0.3,1,adam,0.001,20,0.007814699783921242,0.069204181432724,0.007814699783921242
relu,100,0.3,1,adam,0.001,30,0.007138953544199467,0.06586214154958725,0.007138953544199467
relu,100,0.3,1,adam,0.01,20,0.007482788059860468,0.0676865354180336,0.007482788059860468
relu,100,0.3,1,adam,0.01,30,0.007061138283461332,0.06600397080183029,0.007061138283461332
relu,100,0.3,1,rmsprop,0.001,20,0.00884314440190792,0.07368394732475281,0.00884314440190792
relu,100,0.3,1,rmsprop,0.001,30,0.007791922893375158,0.06852108985185623,0.007791922893375158
relu,100,0.3,1,rmsprop,0.01,20,0.007327493280172348,0.06685265153646469,0.007327493280172348
relu,100,0.3,1,rmsprop,0.01,30,0.007059539668262005,0.06599646806716919,0.007059539668262005
relu,100,0.3,2,adam,0.001,20,0.008678646758198738,0.0721752867102623,0.008678646758198738
relu,100,0.3,2,adam,0.001,30,0.0077439891174435616,0.06848379224538803,0.0077439891174435616
relu,100,0.3,2,adam,0.01,20,0.008077917620539665,0.06972356885671616,0.008077917620539665
relu,100,0.3,2,adam,0.01,30,0.010602743364870548,0.08174550533294678,0.010602743364870548
relu,100,0.3,2,rmsprop,0.001,20,0.009105582721531391,0.07425567507743835,0.009105582721531391
relu,100,0.3,2,rmsprop,0.001,30,0.008791918866336346,0.07290443032979965,0.008791918866336346
relu,100,0.3,2,rmsprop,0.01,20,0.007916494272649288,0.06909868121147156,0.007916494272649288
relu,100,0.3,2,rmsprop,0.01,30,0.008962366729974747,0.07353614270687103,0.008962366729974747
